id,smiles,domain,reason
pqr_0098,Cc1cc2nc3c(=O)n(OCCS(O)(O)c4ccc(NNc5c(S(O)(O)O)cc6cc(S(O)(O)O)c(NNc7ccc(S(C)(O)O)cc7)c(O)c6c5N)cc4)c(=O)[nH]c3[n+](C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,charged_or_radical,manually_marked_failed_after_repeated_missing_or_scf_issue
pqr_0099,COc1cccc2[oH+]c3cc4c(c(O)c3c(=O)c12)[C@@H]1CCC[C@](C)(O4)O1,,"RuntimeError('\nFatal Error: WRITE failed. Error description from the OS: No space left on device\nError in PSIO::wt_toclen()! Cannot write TOC length, unit 97.\nPSIO_ERROR: 12 (error writing to file)\n\nPractical advice: This error is probably disk related. First, check that your scratch isn’t full.\nSecond, make sure that you’re setting scratch (""psi4 -s"" or ""export PSI_SCRATCH"") rather than letting it \ndefault to /tmp. Third, run the job again to see if the error is reproducible.\nIf it persists, finally, file an issue.\n\nError occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1774729123260/work/psi4/src/psi4/libpsio/error.cc on line: 142\nThe most recent 5 function calls were:\n\npsi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)\npsi::PSIO::wt_toclen(unsigned long, unsigned long)\npsi::PSIO::open(unsigned long, int)\npsi::DiskDFJK::initialize_JK_disk()\n')"
pqr_0250,O=C(NCc1ccc2c(c1)OCO2)[C@H]1Cc2c(sc3ccccc23)CN1,,"RuntimeError('\nFatal Error: DFHelper:put_tensor: write error\nError occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1774729123260/work/psi4/src/psi4/lib3index/dfhelper.cc on line: 970\nThe most recent 5 function calls were:\n\npsi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)\npsi::DFHelper::prepare_metric()\npsi::DFHelper::initialize()\n')"
pqr_0251,CN(C)[C@H]1C[C@@H](c2ccc(Br)cc2)c2ccccc21,,"RuntimeError('\nFatal Error: DFHelper:put_tensor: write error\nError occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1774729123260/work/psi4/src/psi4/lib3index/dfhelper.cc on line: 970\nThe most recent 5 function calls were:\n\npsi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)\npsi::DFHelper::prepare_metric()\npsi::DFHelper::initialize()\n')"
pqr_0252,COc1ccc2c(c1)c(CC(=O)NCCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,,"RuntimeError('\nFatal Error: WRITE failed. Error description from the OS: No space left on device\nError in PSIO::wt_toclen()! Cannot write TOC length, unit 97.\nPSIO_ERROR: 12 (error writing to file)\n\nPractical advice: This error is probably disk related. First, check that your scratch isn’t full.\nSecond, make sure that you’re setting scratch (""psi4 -s"" or ""export PSI_SCRATCH"") rather than letting it \ndefault to /tmp. Third, run the job again to see if the error is reproducible.\nIf it persists, finally, file an issue.\n\nError occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1774729123260/work/psi4/src/psi4/libpsio/error.cc on line: 142\nThe most recent 5 function calls were:\n\npsi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)\npsi::PSIO::wt_toclen(unsigned long, unsigned long)\npsi::PSIO::open(unsigned long, int)\npsi::DiskDFJK::initialize_JK_disk()\n')"
pqr_0253,COc1cc(Cl)c(OC)cc1N,,"RuntimeError('\nFatal Error: DFHelper:put_tensor: write error\nError occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1774729123260/work/psi4/src/psi4/lib3index/dfhelper.cc on line: 970\nThe most recent 5 function calls were:\n\npsi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)\npsi::DFHelper::prepare_metric()\npsi::DFHelper::initialize()\n')"
pqr_0254,C=NNc1cccc(Cl)c1,,"RuntimeError('\nFatal Error: DFHelper:put_tensor: write error\nError occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1774729123260/work/psi4/src/psi4/lib3index/dfhelper.cc on line: 970\nThe most recent 5 function calls were:\n\npsi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)\npsi::DFHelper::prepare_metric()\npsi::DFHelper::initialize()\n')"
pqr_0255,O=C1c2ccccc2C(=O)N1Br,,"RuntimeError('\nFatal Error: DFHelper:put_tensor: write error\nError occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1774729123260/work/psi4/src/psi4/lib3index/dfhelper.cc on line: 970\nThe most recent 5 function calls were:\n\npsi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)\npsi::DFHelper::prepare_metric()\npsi::DFHelper::initialize()\n')"
pqr_0256,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CCl,,"RuntimeError('\nFatal Error: WRITE failed. Error description from the OS: No space left on device\nError in PSIO::wt_toclen()! Cannot write TOC length, unit 97.\nPSIO_ERROR: 12 (error writing to file)\n\nPractical advice: This error is probably disk related. First, check that your scratch isn’t full.\nSecond, make sure that you’re setting scratch (""psi4 -s"" or ""export PSI_SCRATCH"") rather than letting it \ndefault to /tmp. Third, run the job again to see if the error is reproducible.\nIf it persists, finally, file an issue.\n\nError occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1774729123260/work/psi4/src/psi4/libpsio/error.cc on line: 142\nThe most recent 5 function calls were:\n\npsi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)\npsi::PSIO::wt_toclen(unsigned long, unsigned long)\npsi::PSIO::open(unsigned long, int)\npsi::DiskDFJK::initialize_JK_disk()\n')"
pqr_0257,Clc1c2ccccc2cc2ccccc12,,"RuntimeError('\nFatal Error: DFHelper:put_tensor: write error\nError occurred in file: /home/conda/feedstock_root/build_artifacts/psi4_1774729123260/work/psi4/src/psi4/lib3index/dfhelper.cc on line: 970\nThe most recent 5 function calls were:\n\npsi::PsiException::PsiException(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char const*, int)\npsi::DFHelper::prepare_metric()\npsi::DFHelper::initialize()\n')"
